jobseeker_id,name,age,gender,education_level,job_role,industry,location,employer_id,employer,placement_status,placement_date,salary
JS10001,Evelyn Martinez,41,Male,Masters,Financial Analyst,Finance,San Francisco,EMP10380,Boone LLC,Placed,2024-07-31,95741
JS10002,James Gonzales,23,Female,High School,Software Engineer,IT,San Francisco,EMP10261,Wolf-Harris,Not Placed,,0
JS10003,Gina Lopez,38,Male,Bachelors,Academic Counselor,Education,San Francisco,EMP10232,"Choi, Garcia and Farmer",Placed,2024-12-04,66523
JS10004,Tim Stone PhD,48,Male,Masters,SEO Analyst,Marketing,Chicago,EMP10144,"Lee, Horton and Snyder",Placed,2024-12-18,82059
JS10005,Jeffrey Carney,24,Male,High School,Quality Engineer,Manufacturing,Dallas,EMP10137,"Lewis, Kennedy and Santana",Not Placed,,0
JS10006,Edward Garcia,44,Male,High School,Sales Associate,Retail,Dallas,EMP10152,"Simmons, Meadows and Griffin",Not Placed,,0
JS10007,Edward Griffin,40,Female,Bachelors,Investment Banker,Finance,New York,EMP10024,Morales-Jones,Not Placed,,0
JS10008,Carol Wallace,45,Male,High School,Financial Analyst,Finance,Los Angeles,EMP10144,"Lee, Horton and Snyder",Not Placed,,0
JS10009,Nicholas Buck,47,Male,Bachelors,Investment Banker,Finance,Chicago,EMP10362,Lam LLC,Not Placed,,0
JS10010,Jessica Fowler,41,Male,Bachelors,Librarian,Education,San Francisco,EMP10085,"Evans, Stewart and Walton",Placed,2025-01-12,48845
JS10011,Angela Walsh,50,Female,Bachelors,SEO Analyst,Marketing,Seattle,EMP10397,Gregory-Watkins,Not Placed,,0
JS10012,Robert Shelton,28,Female,Masters,Store Manager,Retail,New York,EMP10110,Johnson-Doyle,Not Placed,,0
JS10013,Brenda Lawson,39,Female,Bachelors,SEO Analyst,Marketing,Los Angeles,EMP10458,Young-Allen,Not Placed,,0
JS10014,Amanda Jones,35,Male,High School,Brand Manager,Marketing,Dallas,EMP10136,"Lawson, Morris and Ramos",Not Placed,,0
JS10015,Holly Reyes,34,Female,Bachelors,Financial Analyst,Finance,Dallas,EMP10255,Roberts-Landry,Placed,2024-10-17,41543
JS10016,Christian Cole,48,Male,Bachelors,Supply Chain Analyst,Manufacturing,Los Angeles,EMP10308,Armstrong-Andrews,Placed,2024-08-02,52504
JS10017,Phillip Berry,40,Other,Bachelors,Teacher,Education,Miami,EMP10372,Davis Inc,Placed,2024-10-02,68992
JS10018,Ernest Ramirez,38,Female,Masters,Nurse,Healthcare,Chicago,EMP10225,Jones-Soto,Placed,2024-04-24,60212
JS10019,Cody Holmes,44,Female,Bachelors,Teacher,Education,Dallas,EMP10473,Moody-Taylor,Placed,2025-02-28,60489
JS10020,Deborah Green,30,Female,Bachelors,Financial Analyst,Finance,Chicago,EMP10394,"Miller, Ramos and Coleman",Placed,2024-08-31,65514
JS10021,Logan Benson,50,Male,High School,Pharmacist,Healthcare,New York,EMP10058,"Johnston, Sanchez and Kennedy",Not Placed,,0
JS10022,Mrs. Brandy Jones MD,49,Other,Masters,Financial Analyst,Finance,San Francisco,EMP10455,"Lamb, Martin and Kim",Placed,2024-12-13,65161
JS10023,Brandon Fleming,23,Female,Masters,Supply Chain Analyst,Manufacturing,Seattle,EMP10065,Baxter Inc,Placed,2025-02-02,91148
JS10024,Miss Michelle Pierce,38,Male,Bachelors,Academic Counselor,Education,San Francisco,EMP10481,Brown-Copeland,Placed,2024-07-01,63918
JS10025,Sarah Joseph,43,Male,Bachelors,Brand Manager,Marketing,Chicago,EMP10227,Miller-Wright,Not Placed,,0
JS10026,Marcia Leon,35,Male,Bachelors,Nurse,Healthcare,Dallas,EMP10286,Bowen Group,Placed,2024-09-24,47216
JS10027,William Conner,21,Male,Bachelors,Financial Analyst,Finance,New York,EMP10445,"Conner, Li and Santiago",Placed,2024-06-10,56847
JS10028,Allison Spencer,28,Male,Bachelors,Teacher,Education,Miami,EMP10484,Mendez and Sons,Not Placed,,0
JS10029,Robert Arnold,39,Male,Masters,Quality Engineer,Manufacturing,San Francisco,EMP10049,Hickman Ltd,Placed,2024-11-03,88249
JS10030,Ana Sanders,32,Male,Bachelors,Marketing Specialist,Marketing,Miami,EMP10337,"Newton, Moore and Perry",Not Placed,,0
JS10031,Karen Jenkins,24,Male,Masters,Production Manager,Manufacturing,San Francisco,EMP10100,Walsh LLC,Placed,2024-08-17,89400
JS10032,Angela Compton,25,Male,Bachelors,Financial Analyst,Finance,Los Angeles,EMP10418,Thomas and Sons,Not Placed,,0
JS10033,Joanna Frazier,38,Male,Masters,Teacher,Education,New York,EMP10480,Barnes PLC,Not Placed,,0
JS10034,Shawn Deleon,28,Male,Bachelors,Accountant,Finance,New York,EMP10086,Smith PLC,Placed,2024-11-14,52793
JS10035,Patricia Anderson,29,Female,Masters,Pharmacist,Healthcare,Miami,EMP10496,Carter Inc,Not Placed,,0
JS10036,Sheena Guerra,46,Female,Masters,Financial Analyst,Finance,Chicago,EMP10113,"Rodriguez, Brennan and Garrison",Not Placed,,0
JS10037,Elizabeth Martin,39,Female,High School,Nurse,Healthcare,New York,EMP10302,Estrada-Nolan,Not Placed,,0
JS10038,Courtney Meza,50,Female,Bachelors,Teacher,Education,Seattle,EMP10097,Wagner-King,Placed,2024-09-28,42226
JS10039,Sarah King,42,Female,Bachelors,Teacher,Education,Dallas,EMP10307,Castaneda-Rodriguez,Placed,2024-11-12,42686
JS10040,Denise Weber,34,Female,Bachelors,Pharmacist,Healthcare,San Francisco,EMP10345,"Harper, Smith and Buchanan",Not Placed,,0
JS10041,Anna Davidson,28,Male,High School,SEO Analyst,Marketing,Los Angeles,EMP10163,"Smith, Gilmore and Johnston",Not Placed,,0
JS10042,Lauren Jackson,50,Male,Bachelors,Teacher,Education,New York,EMP10278,Gibson-Morris,Placed,2024-11-08,48690
